"BATT_RTC";1;"BT1";"CR1632_2"
"100n";8;"C1 C2 C4 C7 C9 C12 C13 C14";"c_0805"
"22p";2;"C10 C11";"c_0805"
"1n";1;"C15";"c_0805"
"10n";1;"C16";"c_0805"
"2u2 Tant";1;"C3";"c_0805"
"2u2";1;"C5";"c_0805"
"100u,25V";1;"C6";"C_ELCO_SMD"
"47u,10V";1;"C8";"C_ELCO_SMD"
"5V0";1;"D1";"led_0805"
"BLINK";1;"D13";"led_0805"
"3V3";1;"D2";"led_0805"
"RB886G";2;"D3 D4";"d_VMD2"
"MBRM110LT1G";2;"D5 D8";"do_457"
"SMBJ5.0CA-TR";1;"D7";"diode-DO214AA"
"DIP";1;"DIP1";"DIP"
"nanoSMDC110F";2;"F1 F2";"f_1206"
"ATMEGA328-PU";1;"IC1";"DIP-28__300_ELL"
"BCM2835_GPIO";1;"P1";"Header_GPIO"
"U6_OE";1;"P11";"Header_U6OE_SMT"
"UUSB_B";1;"P12";"USB_B_Micro"
"5V_LINK";1;"P16";"Header_U6OE_SMT"
"FDN340P";1;"Q1";"SOT23-3"
"10k";10;"R1 R2 R3 R4 R6 R7 R9 R10 R11 R13";"r_0805"
"1k";1;"R12";"r_0805"
"0E";1;"R14";"r_0805"
"1k5";2;"R5 R8";"r_0805"
"SD_CARD_MICRO";1;"SD1";"SD_Micro"
"RST";1;"SW1";"SW_SMD"
"LP2985-33DBVR";1;"U1";"SOT23-5"
"74HC125";1;"U2";"SO14E"
"DS3231N";1;"U4";"DS3231"
"LM358N";1;"U5";"SO8E"
"TXS0108";1;"U6";"tssop-20"
"16MHz";1;"X1";"Xtal_SMD2"
;;;
;;;
;;;
"I/O";3;"B2 B3 B15";"I/O"
"Logo_Wyolum";2;"G1 G2";"Logo-WL3"
"Logo_OH";2;"G3 G4";"OSHW_6mm"
"PCB";1;"PCB1";"PCB"
"ARDUINO_SHIELD";1;"SHIELD1";"ARDUINO_SHIELD_2_040pins"
"NCP1117ST50T3G";1;"U3";"SOT223"
"V_IN";1;"P10";"JACK_ALIM"
"AREF";1;"P13";"Header_A_REF"
"ANALOG_5V0";1;"P14";"Header_6x1"
"ANALOG_GND";1;"P15";"Header_6x1"
"GPU_JTAG";1;"P2";"Header_GPU_JTAG"
"LAN_JTAG";1;"P3";"Header_GPU_JTAG"
"PWM_SERVO";1;"P4";"Header_Servo"
"5V_SERVO";1;"P5";"Header_Servo"
"GND_SERVO";1;"P6";"Header_Servo"
"GPS_UP501";1;"P7";"Header_GPS"
"FTDI";1;"P8";"Header_FTDI"
"ICSP";1;"P9";"Header_ICSP"
